date,admin1,market,admin1_enc,market_enc,latitude,longitude,year,month,month_sin,month_cos,cpi,fuel_price,temperature,rainfall,cpi_x_fuel,price_yam_per_kg,price_cassava_gari_yellow_per_kg,price_gari_white_per_kg,price_rice_local_per_kg,price_maize_white_per_kg,price_maize_yellow_per_kg,price_rice_imported_per_kg,price_yam_per_kg_deflated,price_yam_per_kg_lag1,price_yam_per_kg_lag3,price_yam_per_kg_lag6,price_yam_per_kg_lag12,price_yam_per_kg_roll_mean3,price_yam_per_kg_roll_mean6,price_yam_per_kg_roll_std3,price_yam_per_kg_deflated_lag1,price_yam_per_kg_deflated_lag3,price_cassava_gari_yellow_per_kg_deflated,price_cassava_gari_yellow_per_kg_lag1,price_cassava_gari_yellow_per_kg_lag3,price_cassava_gari_yellow_per_kg_lag6,price_cassava_gari_yellow_per_kg_lag12,price_cassava_gari_yellow_per_kg_roll_mean3,price_cassava_gari_yellow_per_kg_roll_mean6,price_cassava_gari_yellow_per_kg_roll_std3,price_cassava_gari_yellow_per_kg_deflated_lag1,price_cassava_gari_yellow_per_kg_deflated_lag3,price_gari_white_per_kg_deflated,price_gari_white_per_kg_lag1,price_gari_white_per_kg_lag3,price_gari_white_per_kg_lag6,price_gari_white_per_kg_lag12,price_gari_white_per_kg_roll_mean3,price_gari_white_per_kg_roll_mean6,price_gari_white_per_kg_roll_std3,price_gari_white_per_kg_deflated_lag1,price_gari_white_per_kg_deflated_lag3,price_rice_local_per_kg_deflated,price_rice_local_per_kg_lag1,price_rice_local_per_kg_lag3,price_rice_local_per_kg_lag6,price_rice_local_per_kg_lag12,price_rice_local_per_kg_roll_mean3,price_rice_local_per_kg_roll_mean6,price_rice_local_per_kg_roll_std3,price_rice_local_per_kg_deflated_lag1,price_rice_local_per_kg_deflated_lag3,price_maize_white_per_kg_deflated,price_maize_white_per_kg_lag1,price_maize_white_per_kg_lag3,price_maize_white_per_kg_lag6,price_maize_white_per_kg_lag12,price_maize_white_per_kg_roll_mean3,price_maize_white_per_kg_roll_mean6,price_maize_white_per_kg_roll_std3,price_maize_white_per_kg_deflated_lag1,price_maize_white_per_kg_deflated_lag3,price_maize_yellow_per_kg_deflated,price_maize_yellow_per_kg_lag1,price_maize_yellow_per_kg_lag3,price_maize_yellow_per_kg_lag6,price_maize_yellow_per_kg_lag12,price_maize_yellow_per_kg_roll_mean3,price_maize_yellow_per_kg_roll_mean6,price_maize_yellow_per_kg_roll_std3,price_maize_yellow_per_kg_deflated_lag1,price_maize_yellow_per_kg_deflated_lag3,price_rice_imported_per_kg_deflated,price_rice_imported_per_kg_lag1,price_rice_imported_per_kg_lag3,price_rice_imported_per_kg_lag6,price_rice_imported_per_kg_lag12,price_rice_imported_per_kg_roll_mean3,price_rice_imported_per_kg_roll_mean6,price_rice_imported_per_kg_roll_std3,price_rice_imported_per_kg_deflated_lag1,price_rice_imported_per_kg_deflated_lag3
2015-05-15,Abia,Aba,0,0,5.15,7.36,2015,5,0.5,-0.866025,158.93,52.35,26.21,3.11,8319.99,95.2,106.38,76.33,187.04,86.74,103.97,186.79,52.66,86.8,106.8,81.2,,100.13,99.2,11.55,48.02,59.08,58.85,113.78,121.17,53.66,,118.71,101.94,4.27,62.94,67.03,42.23,55.66,72.26,39.03,,63.96,62.48,8.3,30.79,39.97,103.47,167.04,197.04,170.74,,187.04,185.8,17.32,92.41,109.0,47.98,86.74,86.74,88.22,,86.74,87.11,0.0,47.98,47.98,57.52,103.15,104.38,93.59,,103.97,101.76,0.71,57.06,57.74,103.33,194.64,220.71,200.54,,212.02,211.58,15.05,107.67,122.1
2015-06-15,Abia,Aba,0,0,5.15,7.36,2015,6,0.0,-1.0,158.93,52.35,26.21,3.11,8319.99,100.0,121.17,81.16,197.04,86.74,104.18,187.14,55.32,95.2,106.8,106.8,,96.27,101.53,10.04,52.66,59.08,67.03,106.38,121.17,94.17,,113.78,110.72,7.4,58.85,67.03,44.9,76.33,63.96,63.42,,65.32,68.7,10.4,42.23,35.38,109.0,187.04,197.04,189.63,,183.71,188.52,15.28,103.47,109.0,47.98,86.74,86.74,87.48,,86.74,86.86,0.0,47.98,47.98,57.63,103.97,104.38,101.92,,103.83,103.49,0.63,57.52,57.74,103.53,186.79,220.71,212.14,,200.71,209.28,17.76,103.33,122.1
2015-07-15,Abia,Aba,0,0,5.15,7.36,2015,7,-0.5,-0.866025,158.93,52.35,26.21,3.11,8319.99,140.0,121.17,85.99,228.89,80.63,104.38,213.93,77.45,100.0,86.8,106.8,140.0,94.0,100.4,6.68,55.32,48.02,67.03,121.17,113.78,107.67,62.5,113.78,115.22,7.4,67.03,62.94,47.57,81.16,55.66,80.56,51.46,71.05,71.65,13.55,44.9,30.79,126.62,197.04,167.04,193.33,177.78,183.71,189.76,15.28,109.0,92.41,44.6,86.74,86.74,86.74,92.02,86.74,86.74,0.0,47.98,47.98,57.74,104.18,103.15,103.15,76.92,103.77,103.87,0.54,57.63,57.06,118.35,187.14,194.64,220.71,94.29,189.52,205.12,4.43,103.53,107.67
2015-08-15,Abia,Aba,0,0,5.15,7.36,2015,8,-0.866025,-0.5,158.93,52.35,26.21,3.11,8319.99,150.0,121.17,84.63,236.67,74.52,104.38,217.32,82.98,140.0,95.2,106.8,140.0,111.73,105.93,24.6,77.45,52.66,67.03,121.17,106.38,121.17,63.19,116.24,117.47,8.54,67.03,58.85,46.82,85.99,76.33,72.26,51.46,81.16,72.56,4.83,47.57,42.23,130.93,228.89,187.04,197.04,188.89,204.32,195.68,21.85,126.62,103.47,41.22,80.63,86.74,86.74,89.25,84.7,85.72,3.53,44.6,47.98,57.74,104.38,103.97,104.38,76.92,104.18,104.07,0.21,57.74,57.52,120.22,213.93,186.79,220.71,117.86,195.95,203.99,15.57,118.35,103.33
2015-09-15,Abia,Aba,0,0,5.15,7.36,2015,9,-1.0,-0.0,158.93,52.35,26.21,3.11,8319.99,145.8,121.17,80.56,236.67,84.3,104.38,220.71,80.66,150.0,100.0,106.8,117.4,130.0,113.13,26.46,82.98,55.32,67.03,121.17,121.17,121.17,64.87,121.17,117.47,0.0,67.03,67.03,44.57,84.63,81.16,63.96,51.75,83.93,74.62,2.49,46.82,44.9,130.93,236.67,197.04,197.04,200.0,220.87,202.29,21.0,130.93,109.0,46.63,74.52,86.74,86.74,86.44,80.63,83.68,6.11,41.22,47.98,57.74,104.38,104.18,104.38,76.92,104.31,104.07,0.12,57.74,57.63,122.1,217.32,187.14,220.71,204.64,206.13,203.42,16.53,120.22,103.53
2015-10-15,Abia,Aba,0,0,5.15,7.36,2015,10,-0.866025,0.5,158.93,52.35,26.21,3.11,8319.99,141.6,121.17,80.56,236.67,85.11,104.38,228.57,78.33,145.8,140.0,86.8,94.8,145.27,119.63,5.02,80.66,77.45,67.03,121.17,121.17,113.78,59.26,121.17,117.47,0.0,67.03,67.03,44.57,80.56,85.99,55.66,45.39,83.73,77.39,2.83,44.57,47.57,130.93,236.67,228.89,167.04,151.85,234.08,208.89,4.49,130.93,126.62,47.08,84.3,80.63,86.74,86.44,79.82,83.28,4.94,46.63,44.6,57.74,104.38,104.38,103.15,85.25,104.38,104.07,0.0,57.74,57.74,126.44,220.71,213.93,194.64,188.93,217.32,203.42,3.39,122.1,118.35
2015-11-15,Abia,Aba,0,0,5.15,7.36,2015,11,-0.5,0.866025,158.93,52.35,26.21,3.11,8319.99,116.8,121.17,80.56,236.67,85.93,104.38,240.72,64.61,141.6,150.0,95.2,81.2,145.8,128.77,4.2,78.33,82.98,67.03,121.17,121.17,106.38,53.66,121.17,118.7,0.0,67.03,67.03,44.57,80.56,84.63,76.33,39.03,81.92,81.54,2.35,44.57,46.82,130.93,236.67,236.67,187.04,170.74,236.67,220.5,0.0,130.93,130.93,47.54,85.11,74.52,86.74,88.22,81.31,83.01,5.89,47.08,41.22,57.74,104.38,104.38,103.97,93.59,104.38,104.28,0.0,57.74,57.74,133.17,228.57,217.32,186.79,200.54,222.2,209.08,5.77,126.44,120.22
2015-12-15,Abia,Aba,0,0,5.15,7.36,2015,12,-0.0,1.0,158.93,52.35,26.21,3.11,8319.99,116.8,121.17,80.56,236.67,86.74,104.38,252.86,64.61,116.8,145.8,100.0,106.8,134.73,132.37,15.67,64.61,80.66,67.03,121.17,121.17,121.17,94.17,121.17,121.17,0.0,67.03,67.03,44.57,80.56,80.56,81.16,63.42,80.56,82.24,0.0,44.57,44.57,130.93,236.67,236.67,197.04,189.63,236.67,228.77,0.0,130.93,130.93,47.98,85.93,84.3,86.74,87.48,85.11,82.87,0.82,47.54,46.63,57.74,104.38,104.38,104.18,101.92,104.38,104.35,0.0,57.74,57.74,139.88,240.72,220.71,187.14,212.14,230.0,218.06,10.08,133.17,122.1
2016-01-15,Abia,Aba,0,0,5.15,7.36,2016,1,0.5,0.866025,183.88,43.55,26.65,4.29,8007.97,116.8,113.17,80.56,153.33,95.51,187.71,236.79,55.85,116.8,141.6,140.0,106.8,125.07,135.17,14.32,64.61,78.33,54.11,121.17,121.17,121.17,107.67,121.17,121.17,0.0,67.03,67.03,38.52,80.56,80.56,85.99,80.56,80.56,82.14,0.0,44.57,44.57,73.31,236.67,236.67,228.89,193.33,236.67,235.37,0.0,130.93,130.93,45.67,86.74,85.11,80.63,86.74,85.93,82.87,0.82,47.98,47.08,89.75,104.38,104.38,104.38,103.15,104.38,104.38,0.0,57.74,57.74,113.22,252.86,228.57,213.93,220.71,240.72,229.02,12.15,139.88,126.44
2016-02-15,Abia,Aba,0,0,5.15,7.36,2016,2,0.866025,0.5,183.88,43.55,26.65,4.29,8007.97,121.8,142.82,98.03,172.59,104.28,271.04,220.71,58.24,116.8,116.8,150.0,106.8,116.8,131.3,0.0,55.85,64.61,68.29,113.17,121.17,121.17,121.17,118.5,119.84,4.62,54.11,67.03,46.87,80.56,80.56,84.63,72.26,80.56,81.24,0.0,38.52,44.57,82.52,153.33,236.67,236.67,197.04,208.89,222.78,48.12,73.31,130.93,49.86,95.51,85.93,74.52,86.74,89.39,85.35,5.31,45.67,47.54,129.59,187.71,104.38,104.38,104.38,132.16,118.27,48.11,89.75,57.74,105.53,236.79,240.72,217.32,220.71,243.46,232.83,8.38,113.22,133.17
2016-03-15,Abia,Aba,0,0,5.15,7.36,2016,3,1.0,0.0,183.88,43.55,26.65,4.29,8007.97,126.8,172.47,115.5,191.85,113.05,122.78,312.5,60.63,121.8,116.8,145.8,106.8,118.47,126.6,2.89,58.24,64.61,82.46,142.82,121.17,121.17,121.17,125.72,123.44,15.34,68.29,67.03,55.22,98.03,80.56,80.56,63.96,86.38,83.47,10.09,46.87,44.57,91.73,172.59,236.67,236.67,197.04,187.53,212.1,43.63,82.52,130.93,54.05,104.28,86.74,84.3,86.74,95.51,90.31,8.77,49.86,47.98,58.71,271.04,104.38,104.38,104.38,187.71,146.04,83.33,129.59,57.74,149.42,220.71,252.86,220.71,220.71,236.79,233.39,16.08,105.53,139.88
2016-04-15,Abia,Aba,0,0,5.15,7.36,2016,4,0.866025,-0.5,183.88,43.55,26.65,4.29,8007.97,166.8,186.43,139.47,197.04,124.3,138.22,251.07,79.75,126.8,116.8,141.6,86.8,121.8,123.43,5.0,60.63,55.85,89.14,172.47,113.17,121.17,113.78,142.82,131.99,29.65,82.46,54.11,66.69,115.5,80.56,80.56,55.66,98.03,89.3,17.47,55.22,38.52,94.21,191.85,153.33,236.67,167.04,172.59,204.63,19.26,91.73,73.31,59.43,113.05,95.51,85.11,86.74,104.28,95.1,8.77,54.05,45.67,66.09,122.78,187.71,104.38,103.15,193.84,149.11,74.32,58.71,89.75,120.05,312.5,236.79,228.57,194.64,256.67,248.69,49.02,149.42,113.22
2016-05-15,Abia,Aba,0,0,5.15,7.36,2016,5,0.5,-0.866025,183.88,43.55,26.65,4.29,8007.97,178.6,200.39,163.43,251.86,135.56,137.86,349.64,85.4,166.8,121.8,116.8,95.2,138.47,127.63,24.66,79.75,58.24,95.81,186.43,142.82,121.17,106.38,167.24,142.87,22.27,89.14,68.29,78.14,139.47,98.03,80.56,76.33,117.67,99.11,20.8,66.69,46.87,120.42,197.04,172.59,236.67,187.04,187.16,198.02,12.88,94.21,82.52,64.82,124.3,104.28,85.93,86.74,113.88,101.64,10.04,59.43,49.86,65.92,138.22,271.04,104.38,103.97,177.35,154.75,81.51,66.09,129.59,167.18,251.07,220.71,240.72,186.79,261.43,252.44,46.76,120.05,105.53
2016-06-15,Abia,Aba,0,0,5.15,7.36,2016,6,0.0,-1.0,183.88,43.55,26.65,4.29,8007.97,190.4,214.35,187.4,306.67,146.81,137.51,389.29,91.04,178.6,126.8,116.8,100.0,157.4,137.93,27.15,85.4,60.63,102.49,200.39,172.47,121.17,121.17,186.43,156.08,13.96,95.81,82.46,89.6,163.43,115.5,80.56,81.16,139.47,112.92,23.97,78.14,55.22,146.63,251.86,191.85,236.67,197.04,213.58,200.56,33.25,120.42,91.73,70.2,135.56,113.05,86.74,86.74,124.3,109.91,11.26,64.82,54.05,65.75,137.86,122.78,104.38,104.18,132.95,160.33,8.81,65.92,58.71,186.13,349.64,312.5,252.86,187.14,304.4,270.6,49.78,167.18,149.42
2016-07-15,Abia,Aba,0,0,5.15,7.36,2016,7,-0.5,-0.866025,183.88,43.55,26.65,4.29,8007.97,181.6,228.31,187.4,312.59,148.6,158.7,427.68,86.83,190.4,166.8,116.8,140.0,178.6,150.2,11.8,91.04,79.75,109.16,214.35,186.43,113.17,121.17,200.39,171.6,13.96,102.49,89.14,89.6,187.4,139.47,80.56,85.99,163.43,130.73,23.97,89.6,66.69,149.46,306.67,197.04,153.33,228.89,251.86,212.22,54.82,146.63,94.21,71.05,146.81,124.3,95.51,80.63,135.56,119.92,11.26,70.2,59.43,75.88,137.51,138.22,187.71,104.38,137.86,165.85,0.36,65.75,66.09,204.49,389.29,251.07,236.79,213.93,330.0,293.33,71.17,186.13,120.05
2016-08-15,Abia,Aba,0,0,5.15,7.36,2016,8,-0.866025,-0.5,183.88,43.55,26.65,4.29,8007.97,172.8,228.31,187.4,397.41,190.61,179.9,466.07,82.62,181.6,178.6,121.8,150.0,183.53,161.0,6.13,86.83,85.4,109.16,228.31,200.39,142.82,121.17,214.35,190.8,13.96,109.16,95.81,89.6,187.4,163.43,98.03,84.63,179.41,148.54,13.84,89.6,78.14,190.02,312.59,251.86,172.59,236.67,290.37,238.77,33.48,149.46,120.42,91.14,148.6,135.56,104.28,74.52,143.66,128.77,7.07,71.05,64.82,86.02,158.7,137.86,271.04,104.38,144.69,161.02,12.13,75.88,65.92,222.85,427.68,349.64,220.71,217.32,388.87,325.15,39.02,204.49,167.18
2016-09-15,Abia,Aba,0,0,5.15,7.36,2016,9,-1.0,-0.0,183.88,43.55,26.65,4.29,8007.97,163.6,228.31,194.52,417.41,189.66,177.02,476.43,78.22,172.8,190.4,126.8,145.8,181.6,169.5,8.8,82.62,91.04,109.16,228.31,214.35,172.47,121.17,223.66,205.04,8.06,109.16,102.49,93.01,187.4,187.4,115.5,80.56,187.4,163.43,0.0,89.6,89.6,199.58,397.41,306.67,191.85,236.67,338.89,276.24,50.77,190.02,146.63,90.68,190.61,146.81,113.05,84.3,162.01,143.16,24.79,91.14,70.2,84.64,179.9,137.51,122.78,104.38,158.7,145.83,21.2,86.02,65.75,227.8,466.07,389.29,312.5,220.71,427.68,366.04,38.39,222.85,186.13
2016-10-15,Abia,Aba,0,0,5.15,7.36,2016,10,-0.866025,0.5,183.88,43.55,26.65,4.29,8007.97,149.4,228.31,201.64,417.41,176.4,174.13,486.79,71.43,163.6,181.6,166.8,141.6,172.67,175.63,9.0,78.22,86.83,109.16,228.31,228.31,186.43,121.17,228.31,214.35,0.0,109.16,109.16,96.41,194.52,187.4,139.47,80.56,189.77,176.6,4.11,93.01,89.6,199.58,417.41,312.59,197.04,236.67,375.8,313.83,55.65,199.58,149.46,84.34,189.66,148.6,124.3,85.11,176.29,155.92,23.98,90.68,71.05,83.26,177.02,158.7,138.22,104.38,171.87,154.87,11.5,84.64,75.88,232.75,476.43,427.68,251.07,228.57,456.73,393.36,25.68,227.8,204.49
2016-11-15,Abia,Aba,0,0,5.15,7.36,2016,11,-0.5,0.866025,183.88,43.55,26.65,4.29,8007.97,135.2,228.31,208.77,428.15,163.13,162.19,497.14,64.64,149.4,172.8,178.6,116.8,161.93,172.73,11.79,71.43,82.62,109.16,228.31,228.31,200.39,121.17,228.31,221.33,0.0,109.16,109.16,99.82,201.64,187.4,163.43,80.56,194.52,186.96,7.12,96.41,89.6,204.71,417.41,397.41,251.86,236.67,410.74,350.56,11.55,199.58,190.02,78.0,176.4,190.61,135.56,85.93,185.56,164.61,7.94,84.34,91.14,77.55,174.13,179.9,137.86,104.38,177.02,160.85,2.89,83.26,86.02,237.7,486.79,466.07,349.64,240.72,476.43,432.65,10.36,232.75,222.85
2016-12-15,Abia,Aba,0,0,5.15,7.36,2016,12,-0.0,1.0,183.88,43.55,26.65,4.29,8007.97,151.6,228.31,215.89,438.89,151.96,169.66,507.5,72.49,135.2,163.6,190.4,116.8,149.4,165.5,14.2,64.64,78.22,109.16,228.31,228.31,214.35,121.17,228.31,225.98,0.0,109.16,109.16,103.23,208.77,194.52,187.4,80.56,201.64,194.52,7.13,99.82,93.01,209.85,428.15,417.41,306.67,236.67,420.99,379.94,6.2,204.71,199.58,72.66,163.13,189.66,146.81,86.74,176.4,169.2,13.27,78.0,90.68,81.12,162.19,177.02,137.51,104.38,171.11,164.91,7.86,77.55,84.64,242.65,497.14,476.43,389.29,252.86,486.79,457.23,10.36,237.7,227.8
2017-01-15,Abia,Aba,0,0,5.15,7.36,2017,1,0.5,0.866025,214.23,51.28,26.75,4.29,10985.71,201.6,248.85,224.88,397.41,170.12,177.12,517.86,82.74,151.6,149.4,181.6,116.8,145.4,159.03,8.9,72.49,71.43,102.13,228.31,228.31,228.31,113.17,228.31,228.31,0.0,109.16,109.16,92.29,215.89,201.64,187.4,80.56,208.77,199.27,7.13,103.23,96.41,163.1,438.89,417.41,312.59,153.33,428.15,401.98,10.74,209.85,199.58,69.82,151.96,176.4,148.6,95.51,163.83,170.06,12.24,72.66,84.34,72.69,169.66,174.13,158.7,187.71,168.66,170.27,6.03,81.12,83.26,212.53,507.5,486.79,427.68,236.79,497.14,476.94,10.36,242.65,232.75
